T,psurvival_SO,psurvival_ME
1,0.9995730256490675,0.9993495746722972
5,0.9978759565287137,0.9966998679757215
10,0.9957784772902727,0.9932704521249646
25,0.9896374810229072,0.9817359292836008
50,0.9798650716232001,0.9575477318469395
100,0.9617986256453105,0.9107895033902162
250,0.9161312839133169,0.7837738539603792
500,0.8573100152261517,0.6102091231341752
1000,0.7724131838278885,0.36987463184172714
1250,0.7392557980914466,0.28796683332221235
1500,0.7101144119608329,0.22419730891170495
2000,0.6605862942853226,0.1358958657774591
2500,0.6194370128805192,0.08237247103924068
3000,0.5842676127172585,0.04992958355496953
4000,0.5264741494419637,0.0183446589762718
5000,0.48024998412211967,0.006740022427489554
10000,0.3353817501310327,4.512527238056322e-05
